Time (s),Frame,Event
1.22,72,Person 188 Walking
1.22,72,Crowded Scene (16 people)
1.24,73,Vehicle 3 Stopping
1.24,73,Person 13 Walking
1.24,73,Vehicle 33 Stopping
1.24,73,Vehicle 116 Stopping
1.24,73,Person 167 Walking
1.24,73,Person 188 Walking
1.24,73,Person 201 Walking
1.24,73,Person 68 Walking
1.24,73,Crowded Scene (16 people)
1.25,74,Vehicle 3 Stopping
1.25,74,Vehicle 33 Stopping
1.25,74,Vehicle 116 Stopping
1.25,74,Person 201 Walking
1.25,74,Crowded Scene (16 people)
1.27,75,Vehicle 3 Stopping
1.27,75,Vehicle 33 Stopping
1.27,75,Vehicle 116 Stopping
1.27,75,Person 188 Walking
1.27,75,Crowded Scene (14 people)
1.29,76,Vehicle 3 Stopping
1.29,76,Vehicle 33 Stopping
1.29,76,Vehicle 116 Stopping
1.29,76,Person 188 Walking
1.29,76,Person 45 Walking
1.29,76,Crowded Scene (15 people)
1.31,77,Vehicle 3 Stopping
1.31,77,Person 13 Walking
1.31,77,Vehicle 33 Stopping
1.31,77,Vehicle 116 Stopping
1.31,77,Person 201 Walking
1.31,77,Person 115 Walking
1.31,77,Crowded Scene (16 people)
1.32,78,Vehicle 3 Stopping
1.32,78,Vehicle 33 Stopping
1.32,78,Vehicle 116 Stopping
1.32,78,Person 201 Walking
1.32,78,Person 115 Walking
1.32,78,Crowded Scene (15 people)
1.34,79,Vehicle 3 Stopping
1.34,79,Vehicle 33 Stopping
1.34,79,Vehicle 116 Stopping
1.34,79,Person 201 Walking
1.34,79,Person 169 Walking
1.34,79,Person 115 Walking
1.34,79,Crowded Scene (16 people)
1.36,80,Vehicle 3 Stopping
1.36,80,Vehicle 33 Stopping
1.36,80,Vehicle 116 Stopping
1.36,80,Crowded Scene (16 people)
1.37,81,Vehicle 3 Stopping
1.37,81,Vehicle 33 Stopping
1.37,81,Vehicle 116 Stopping
1.37,81,Person 223 Walking
1.37,81,Crowded Scene (16 people)
1.39,82,Vehicle 3 Stopping
1.39,82,Person 13 Walking
1.39,82,Vehicle 33 Stopping
1.39,82,Vehicle 116 Stopping
1.39,82,Person 188 Walking
1.39,82,Crowded Scene (16 people)
1.41,83,Vehicle 3 Stopping
1.41,83,Vehicle 33 Stopping
1.41,83,Vehicle 116 Stopping
1.41,83,Crowded Scene (15 people)
1.42,84,Vehicle 3 Stopping
1.42,84,Person 13 Walking
1.42,84,Vehicle 33 Stopping
1.42,84,Vehicle 116 Stopping
1.42,84,Crowded Scene (14 people)
1.44,85,Vehicle 3 Stopping
1.44,85,Vehicle 33 Stopping
1.44,85,Vehicle 116 Stopping
1.44,85,Person 195 Walking
1.44,85,Crowded Scene (14 people)
1.46,86,Vehicle 3 Stopping
1.46,86,Vehicle 33 Stopping
1.46,86,Vehicle 116 Stopping
1.46,86,Person 188 Walking
1.46,86,Crowded Scene (15 people)
1.47,87,Vehicle 3 Stopping
1.47,87,Vehicle 33 Stopping
1.47,87,Vehicle 116 Stopping
1.47,87,Crowded Scene (15 people)
1.49,88,Vehicle 3 Stopping
1.49,88,Vehicle 33 Stopping
1.49,88,Vehicle 116 Stopping
1.49,88,Crowded Scene (15 people)
1.51,89,Vehicle 3 Stopping
1.51,89,Vehicle 33 Stopping
1.51,89,Vehicle 116 Stopping
1.51,89,Crowded Scene (16 people)
1.53,90,Vehicle 3 Stopping
1.53,90,Vehicle 33 Stopping
1.53,90,Vehicle 116 Stopping
1.53,90,Person 195 Walking
1.53,90,Crowded Scene (16 people)
1.54,91,Vehicle 3 Stopping
1.54,91,Vehicle 33 Stopping
1.54,91,Vehicle 116 Stopping
1.54,91,Person 169 Walking
1.54,91,Person 188 Walking
1.54,91,Crowded Scene (16 people)
1.56,92,Vehicle 3 Stopping
1.56,92,Vehicle 33 Stopping
1.56,92,Vehicle 116 Stopping
1.56,92,Person 195 Walking
1.56,92,Crowded Scene (16 people)
1.58,93,Vehicle 3 Stopping
1.58,93,Vehicle 33 Stopping
1.58,93,Vehicle 116 Stopping
1.58,93,Crowded Scene (16 people)
1.59,94,Vehicle 3 Stopping
1.59,94,Vehicle 33 Stopping
1.59,94,Vehicle 116 Stopping
1.59,94,Person 45 Walking
1.59,94,Person 262 Walking
1.59,94,Crowded Scene (16 people)
1.61,95,Vehicle 3 Stopping
1.61,95,Vehicle 33 Stopping
1.61,95,Vehicle 116 Stopping
1.61,95,Person 45 Walking
1.61,95,Person 264 Walking
1.61,95,Crowded Scene (16 people)
1.63,96,Vehicle 3 Stopping
1.63,96,Vehicle 33 Stopping
1.63,96,Vehicle 116 Stopping
1.63,96,Person 262 Walking
1.63,96,Person 264 Walking
1.63,96,Crowded Scene (16 people)
1.64,97,Vehicle 3 Stopping
1.64,97,Person 13 Walking
1.64,97,Vehicle 33 Stopping
1.64,97,Vehicle 116 Stopping
1.64,97,Person 169 Walking
1.64,97,Person 262 Walking
1.64,97,Person 264 Walking
1.64,97,Crowded Scene (16 people)
1.66,98,Vehicle 3 Stopping
1.66,98,Vehicle 33 Stopping
1.66,98,Vehicle 116 Stopping
1.66,98,Person 169 Walking
1.66,98,Person 188 Walking
1.66,98,Person 264 Walking
1.66,98,Crowded Scene (16 people)
1.68,99,Vehicle 3 Stopping
1.68,99,Vehicle 33 Stopping
1.68,99,Vehicle 116 Stopping
1.68,99,Person 188 Walking
1.68,99,Person 262 Walking
1.68,99,Crowded Scene (16 people)
1.69,100,Vehicle 3 Stopping
1.69,100,Vehicle 33 Stopping
1.69,100,Vehicle 116 Stopping
1.69,100,Crowded Scene (17 people)
1.71,101,Vehicle 3 Stopping
1.71,101,Vehicle 33 Stopping
1.71,101,Vehicle 116 Stopping
1.71,101,Person 201 Walking
1.71,101,Person 264 Walking
1.71,101,Crowded Scene (16 people)
1.73,102,Vehicle 3 Stopping
1.73,102,Vehicle 33 Stopping
1.73,102,Vehicle 116 Stopping
1.73,102,Person 169 Walking
1.73,102,Person 264 Walking
1.73,102,Crowded Scene (16 people)
1.75,103,Vehicle 3 Stopping
1.75,103,Vehicle 33 Stopping
1.75,103,Vehicle 116 Stopping
1.75,103,Person 115 Walking
1.75,103,Person 264 Walking
1.75,103,Crowded Scene (16 people)
1.76,104,Vehicle 3 Stopping
1.76,104,Vehicle 33 Stopping
1.76,104,Vehicle 116 Stopping
1.76,104,Person 169 Walking
1.76,104,Crowded Scene (15 people)
1.78,105,Vehicle 3 Stopping
1.78,105,Vehicle 33 Stopping
1.78,105,Vehicle 116 Stopping
1.78,105,Crowded Scene (15 people)
1.80,106,Vehicle 3 Stopping
1.80,106,Person 13 Walking
1.80,106,Vehicle 33 Stopping
1.80,106,Vehicle 116 Stopping
1.80,106,Crowded Scene (16 people)
1.81,107,Vehicle 3 Stopping
1.81,107,Vehicle 33 Stopping
1.81,107,Vehicle 116 Stopping
1.81,107,Person 195 Walking
1.81,107,Crowded Scene (17 people)
1.83,108,Vehicle 3 Stopping
1.83,108,Vehicle 33 Stopping
1.83,108,Vehicle 116 Stopping
1.83,108,Person 223 Walking
1.83,108,Crowded Scene (18 people)
1.85,109,Vehicle 3 Stopping
1.85,109,Vehicle 33 Stopping
1.85,109,Vehicle 116 Stopping
1.85,109,Person 277 Walking
1.85,109,Person 284 Walking
1.85,109,Crowded Scene (18 people)
1.86,110,Vehicle 3 Stopping
1.86,110,Vehicle 33 Stopping
1.86,110,Vehicle 116 Stopping
1.86,110,Crowded Scene (18 people)
1.88,111,Vehicle 3 Stopping
1.88,111,Vehicle 33 Stopping
1.88,111,Vehicle 116 Stopping
1.88,111,Person 195 Walking
1.88,111,Crowded Scene (18 people)
1.90,112,Vehicle 3 Stopping
1.90,112,Vehicle 33 Stopping
1.90,112,Vehicle 116 Stopping
1.90,112,Person 195 Walking
1.90,112,Person 232 Walking
1.90,112,Person 289 Walking
1.90,112,Crowded Scene (18 people)
1.92,113,Vehicle 3 Stopping
1.92,113,Vehicle 33 Stopping
1.92,113,Person 70 Walking
1.92,113,Vehicle 116 Stopping
1.92,113,Crowded Scene (17 people)
1.93,114,Vehicle 3 Stopping
1.93,114,Vehicle 33 Stopping
1.93,114,Vehicle 116 Stopping
1.93,114,Person 284 Walking
1.93,114,Crowded Scene (17 people)
1.95,115,Vehicle 3 Stopping
1.95,115,Person 13 Walking
1.95,115,Vehicle 33 Stopping
1.95,115,Vehicle 116 Stopping
1.95,115,Person 169 Walking
1.95,115,Crowded Scene (17 people)
1.97,116,Vehicle 3 Stopping
1.97,116,Vehicle 33 Stopping
1.97,116,Vehicle 116 Stopping
1.97,116,Person 232 Walking
1.97,116,Person 188 Walking
1.97,116,Person 284 Walking
1.97,116,Crowded Scene (17 people)
1.98,117,Vehicle 3 Stopping
1.98,117,Vehicle 33 Stopping
1.98,117,Vehicle 116 Stopping
1.98,117,Person 232 Walking
1.98,117,Crowded Scene (17 people)
2.00,118,Vehicle 3 Stopping
2.00,118,Vehicle 33 Stopping
2.00,118,Vehicle 116 Stopping
2.00,118,Person 169 Walking
2.00,118,Person 232 Walking
2.00,118,Crowded Scene (17 people)
2.02,119,Vehicle 3 Stopping
2.02,119,Vehicle 33 Stopping
2.02,119,Vehicle 116 Stopping
2.02,119,Crowded Scene (15 people)
2.03,120,Vehicle 3 Stopping
2.03,120,Vehicle 33 Stopping
2.03,120,Vehicle 116 Stopping
2.03,120,Person 169 Walking
2.03,120,Person 232 Walking
2.03,120,Person 188 Walking
2.03,120,Crowded Scene (16 people)
2.05,121,Vehicle 33 Stopping
2.05,121,Vehicle 116 Stopping
2.05,121,Person 264 Walking
2.05,121,Person 188 Walking
2.05,121,Crowded Scene (15 people)
2.07,122,Vehicle 33 Stopping
2.07,122,Vehicle 116 Stopping
2.07,122,Person 115 Walking
2.07,122,Crowded Scene (15 people)
2.08,123,Vehicle 33 Stopping
2.08,123,Vehicle 116 Stopping
2.08,123,Crowded Scene (15 people)
2.10,124,Vehicle 33 Stopping
2.10,124,Vehicle 116 Stopping
2.10,124,Person 232 Walking
2.10,124,Crowded Scene (15 people)
2.12,125,Vehicle 33 Stopping
2.12,125,Vehicle 116 Stopping
2.12,125,Crowded Scene (16 people)
2.14,126,Person 7 Walking
2.14,126,Vehicle 33 Stopping
2.14,126,Vehicle 116 Stopping
2.14,126,Crowded Scene (16 people)
2.15,127,Vehicle 33 Stopping
2.15,127,Vehicle 116 Stopping
2.15,127,Crowded Scene (16 people)
2.17,128,Vehicle 33 Stopping
2.17,128,Vehicle 116 Stopping
2.17,128,Person 232 Walking
2.17,128,Crowded Scene (17 people)
2.19,129,Vehicle 33 Stopping
2.19,129,Vehicle 116 Stopping
2.19,129,Person 323 Walking
2.19,129,Crowded Scene (17 people)
2.20,130,Vehicle 33 Stopping
2.20,130,Vehicle 116 Stopping
2.20,130,Person 289 Walking
2.20,130,Crowded Scene (17 people)
2.22,131,Vehicle 33 Stopping
2.22,131,Vehicle 116 Stopping
2.22,131,Crowded Scene (17 people)
2.24,132,Vehicle 33 Stopping
2.24,132,Vehicle 116 Stopping
2.24,132,Crowded Scene (17 people)
2.25,133,Vehicle 33 Stopping
2.25,133,Vehicle 116 Stopping
2.25,133,Crowded Scene (17 people)
2.27,134,Vehicle 33 Stopping
2.27,134,Vehicle 116 Stopping
2.27,134,Crowded Scene (18 people)
2.29,135,Vehicle 33 Stopping
2.29,135,Vehicle 116 Stopping
2.29,135,Person 232 Walking
2.29,135,Person 264 Walking
2.29,135,Person 323 Walking
2.29,135,Crowded Scene (20 people)
2.31,136,Person 7 Walking
2.31,136,Vehicle 33 Stopping
2.31,136,Vehicle 116 Stopping
2.31,136,Person 188 Walking
2.31,136,Person 323 Walking
2.31,136,Person 284 Walking
2.31,136,Crowded Scene (20 people)
2.32,137,Person 7 Walking
2.32,137,Vehicle 33 Stopping
2.32,137,Vehicle 116 Stopping
2.32,137,Crowded Scene (20 people)
2.34,138,Vehicle 33 Stopping
2.34,138,Vehicle 116 Stopping
2.34,138,Crowded Scene (20 people)
2.36,139,Vehicle 33 Stopping
2.36,139,Vehicle 116 Stopping
2.36,139,Person 232 Walking
2.36,139,Person 346 Walking
2.36,139,Person 284 Walking
2.36,139,Person 264 Walking
2.36,139,Crowded Scene (20 people)
2.37,140,Vehicle 33 Stopping
2.37,140,Vehicle 116 Stopping
2.37,140,Person 284 Walking
2.37,140,Person 353 Walking
2.37,140,Person 264 Walking
2.37,140,Crowded Scene (20 people)
2.39,141,Vehicle 33 Stopping
2.39,141,Vehicle 116 Stopping
2.39,141,Person 284 Walking
2.39,141,Crowded Scene (20 people)
2.41,142,Vehicle 33 Stopping
2.41,142,Vehicle 116 Stopping
2.41,142,Person 284 Walking
2.41,142,Crowded Scene (20 people)
2.42,143,Vehicle 33 Stopping
2.42,143,Vehicle 116 Stopping
2.42,143,Person 45 Walking
2.42,143,Person 284 Walking
2.42,143,Person 264 Walking
2.42,143,Crowded Scene (20 people)
2.44,144,Vehicle 33 Stopping
2.44,144,Vehicle 116 Stopping
2.44,144,Crowded Scene (18 people)
2.46,145,Vehicle 33 Stopping
2.46,145,Vehicle 116 Stopping
2.46,145,Person 45 Walking
2.46,145,Person 188 Walking
2.46,145,Crowded Scene (18 people)
2.47,146,Vehicle 33 Stopping
2.47,146,Vehicle 116 Stopping
2.47,146,Crowded Scene (18 people)
2.49,147,Vehicle 33 Stopping
2.49,147,Vehicle 116 Stopping
2.49,147,Person 188 Walking
2.49,147,Person 346 Walking
2.49,147,Crowded Scene (18 people)
2.51,148,Vehicle 33 Stopping
2.51,148,Person 70 Walking
2.51,148,Vehicle 116 Stopping
2.51,148,Person 346 Walking
2.51,148,Crowded Scene (17 people)
2.53,149,Vehicle 33 Stopping
2.53,149,Vehicle 116 Stopping
2.53,149,Person 188 Walking
2.53,149,Person 347 Walking
2.53,149,Crowded Scene (14 people)
2.54,150,Vehicle 33 Stopping
2.54,150,Vehicle 116 Stopping
2.54,150,Person 188 Walking
2.54,150,Person 347 Walking
2.54,150,Person 70 Walking
2.54,150,Crowded Scene (15 people)
2.56,151,Vehicle 33 Stopping
2.56,151,Vehicle 116 Stopping
2.56,151,Person 188 Walking
2.56,151,Person 353 Walking
2.56,151,Person 70 Walking
2.56,151,Crowded Scene (15 people)
2.58,152,Vehicle 33 Stopping
2.58,152,Vehicle 116 Stopping
2.58,152,Person 8 Walking
2.58,152,Person 115 Walking
2.58,152,Person 342 Walking
2.58,152,Person 347 Walking
2.58,152,Crowded Scene (15 people)
2.59,153,Vehicle 33 Stopping
2.59,153,Vehicle 116 Stopping
2.59,153,Person 8 Walking
2.59,153,Person 188 Walking
2.59,153,Person 342 Walking
2.59,153,Crowded Scene (15 people)
2.61,154,Vehicle 33 Stopping
2.61,154,Vehicle 116 Stopping
2.61,154,Person 8 Walking
2.61,154,Person 347 Walking
2.61,154,Crowded Scene (15 people)
2.63,155,Vehicle 33 Stopping
2.63,155,Vehicle 116 Stopping
2.63,155,Person 8 Walking
2.63,155,Person 277 Walking
2.63,155,Crowded Scene (14 people)
2.64,156,Vehicle 33 Stopping
2.64,156,Vehicle 116 Stopping
2.64,156,Person 8 Walking
2.64,156,Person 277 Walking
2.64,156,Person 342 Walking
2.64,156,Crowded Scene (14 people)
2.66,157,Vehicle 33 Stopping
2.66,157,Vehicle 116 Stopping
2.66,157,Crowded Scene (12 people)
2.68,158,Person 6 Walking
2.68,158,Vehicle 33 Stopping
2.68,158,Vehicle 116 Stopping
2.68,158,Person 289 Walking
2.68,158,Person 353 Walking
2.68,158,Crowded Scene (12 people)
2.69,159,Person 6 Walking
2.69,159,Vehicle 33 Stopping
2.69,159,Vehicle 116 Stopping
2.69,159,Crowded Scene (12 people)
2.71,160,Person 6 Walking
2.71,160,Vehicle 33 Stopping
2.71,160,Vehicle 116 Stopping
2.71,160,Person 353 Walking
2.71,160,Crowded Scene (13 people)
2.73,161,Person 6 Walking
2.73,161,Vehicle 33 Stopping
2.73,161,Vehicle 116 Stopping
2.73,161,Person 372 Walking
2.73,161,Crowded Scene (13 people)
2.75,162,Person 6 Walking
2.75,162,Vehicle 33 Stopping
2.75,162,Vehicle 116 Stopping
2.75,162,Person 7 Walking
2.75,162,Person 264 Walking
2.75,162,Crowded Scene (15 people)
2.76,163,Vehicle 33 Stopping
2.76,163,Vehicle 116 Stopping
2.76,163,Person 115 Walking
2.76,163,Person 289 Walking
2.76,163,Person 342 Walking
2.76,163,Person 372 Walking
2.76,163,Person 7 Walking
2.76,163,Crowded Scene (15 people)
2.78,164,Vehicle 33 Stopping
2.78,164,Vehicle 116 Stopping
2.78,164,Person 115 Walking
2.78,164,Person 372 Walking
2.78,164,Person 264 Walking
2.78,164,Crowded Scene (15 people)
2.80,165,Person 6 Walking
2.80,165,Vehicle 33 Stopping
2.80,165,Vehicle 116 Stopping
2.80,165,Person 353 Walking
2.80,165,Person 264 Walking
2.80,165,Crowded Scene (13 people)
2.81,166,Person 6 Walking
2.81,166,Vehicle 33 Stopping
2.81,166,Vehicle 116 Stopping
2.81,166,Person 7 Walking
2.81,166,Person 264 Walking
2.81,166,Crowded Scene (12 people)
2.83,167,Vehicle 33 Stopping
2.83,167,Vehicle 116 Stopping
2.83,167,Person 70 Walking
2.83,167,Person 264 Walking
2.83,167,Crowded Scene (12 people)
2.85,168,Vehicle 33 Stopping
2.85,168,Vehicle 116 Stopping
2.85,168,Person 188 Walking
2.85,168,Crowded Scene (12 people)
2.86,169,Vehicle 33 Stopping
2.86,169,Vehicle 116 Stopping
2.86,169,Crowded Scene (12 people)
2.88,170,Vehicle 33 Stopping
2.88,170,Vehicle 116 Stopping
2.88,170,Person 195 Walking
2.88,170,Person 188 Walking
2.88,170,Crowded Scene (13 people)
2.90,171,Vehicle 33 Stopping
2.90,171,Vehicle 116 Stopping
2.90,171,Person 188 Walking
2.90,171,Person 232 Walking
2.90,171,Person 353 Walking
2.90,171,Crowded Scene (15 people)
2.92,172,Vehicle 33 Stopping
2.92,172,Vehicle 116 Stopping
2.92,172,Person 195 Walking
2.92,172,Person 264 Walking
2.92,172,Person 381 Walking
2.92,172,Person 232 Walking
2.92,172,Person 353 Walking
2.92,172,Crowded Scene (16 people)
